# ASN 注册表 —— ASN 的展示名 + 运营商/厂商标注。可直接 PR 补充。
#
# 列:
#   asn      AS 号(纯数字)
#   name     中文/主展示名(列表、路径、面板用)。如 电信CN2、阿里云
#   name_en  英文别名(可选)。英文界面优先用它;留空则前端自动从中文名滤出拉丁部分
#            (如「电信CN2」→「CN2」),所以三大运营商的纯拉丁后缀可不填
#   op       运营商/厂商分类。三大运营商有专属配色:电信 联通 移动;
#            其余:国际 IDC 其他(均无专属配色;IDC=云/主机厂商;其他=教育/科研/政府/广电/企业等)
#
# 注意:这是「默认表」,config.json 里的 asn_registry 若存在会整体覆盖本表。
# 仅作展示与下拉用,不含任何线路质量含义。
asn,name,name_en,op
# ── 中国电信 ──
4809,电信CN2,,电信
23764,电信CTGNet,,电信
4134,电信163(ChinaNet),,电信
4812,上海电信,Shanghai Telecom,电信
4847,北京电信,Beijing Telecom,电信
# ── 中国联通 ──
9929,联通CUII,,联通
10099,联通(CUG),,联通
4837,联通169,,联通
4808,北京联通,Beijing Unicom,联通
17621,上海联通,Shanghai Unicom,联通
17622,广州联通,Guangzhou Unicom,联通
17816,广东联通,Guangdong Unicom,联通
# ── 中国移动 ──
58807,移动CMIN2,,移动
58453,移动CMI,,移动
9808,移动CMNET,,移动
24400,上海移动,China Mobile,移动
56040,广东移动,Guangdong Mobile,移动
56041,浙江移动,Zhejiang Mobile,移动
134810,吉林移动,Jilin Mobile,移动
56046,江苏移动,JiangSu Mobile,移动
132525,黑龙江移动,Heilongjiang Mobile,移动
56044,辽宁移动,Liaoning Mobile,移动
# ── 中国教育和科研计算机网 CERNET ──
4538,教育网CERNET,,其他
23910,教育网CERNET2(IPv6),,其他
# ── 中国科技网 CSTNET ──
7497,科技网CSTNET,,其他
# ── 常见国际 transit ──
1299,Arelion(Telia),Arelion,国际
2914,NTT,NTT,国际
6453,TATA,TATA,国际
3257,GTT,GTT,国际
6762,Sparkle,Sparkle,国际
12956,Telxius,Telxius,国际
174,Cogent,Cogent,国际
3356,Lumen,Lumen,国际
6939,HE,Hurricane Electric,国际
3491,PCCW,PCCW,国际
1273,Vodafone,Vodafone,国际
701,Verizon,Verizon,国际
7018,AT&T,AT&T,国际
3320,DTAG,Deutsche Telekom,国际
137409,GSL,Global Secure Layer,国际
# ── 云 / IDC 厂商(op=IDC,无专属配色)──
# 国内云
37963,阿里云,Alibaba Cloud,IDC
45102,阿里云(国际),Alibaba Cloud (Intl),IDC
45090,腾讯云,Tencent Cloud,IDC
132203,腾讯云(国际),Tencent Cloud (Intl),IDC
55990,华为云,Huawei Cloud,IDC
136907,华为云(国际),Huawei Cloud (Intl),IDC
38365,百度云,Baidu Cloud,IDC
135377,优刻得UCloud,UCloud,IDC
# 国际云 / 主机商
16509,亚马逊AWS,Amazon AWS,IDC
14618,亚马逊AWS,Amazon AWS,IDC
15169,谷歌,Google,IDC
8075,微软Azure,Microsoft Azure,IDC
13335,Cloudflare,Cloudflare,IDC
31898,甲骨文云OCI,Oracle Cloud,IDC
14061,DigitalOcean,DigitalOcean,IDC
20473,Vultr,Vultr,IDC
63949,Linode,Akamai Linode,IDC
20940,Akamai,Akamai,IDC
24940,Hetzner,Hetzner,IDC
16276,OVH,OVH,IDC
906,DMIT,DMIT,IDC
61112,Akile,Akile,IDC
212890,AetherCloud,AetherCloud,IDC

# ════════ bgp.tools CN eyeball 排名补充 (2026-06-13) ════════
# ── 中国电信(补充) ──
140292,江苏苏州电信,,电信
137266,湖北武汉电信,,电信
134762,辽宁大连电信,,电信
58461,杭州电信(IDC),,电信
17638,天津电信,,电信
140308,广东珠海电信,,电信
140293,江苏常州电信,,电信
140318,广东河源电信,,电信
141739,重庆电信(IDC),,电信
136199,广东电信,,电信
134774,广东深圳电信,,电信
131285,湖北电信,,电信
140061,青海电信,,电信
140486,浙江金华电信,,电信
140485,浙江杭州电信,,电信
140345,云南电信,,电信
140309,广东中山电信,,电信
58541,青岛电信(IDC),,电信
136190,浙江金华,,电信
4811,上海电信(IDC),,电信
140647,贵州电信,,电信
137692,广东电信(物联网),,电信
140311,广东江门电信,,电信
134419,广西北海电信,,电信
140553,新疆电信,,电信
135089,广州电信华南IDC,,电信
140320,广东汕尾电信,,电信
58563,湖北电信,,电信
58540,山东济南电信(IDC),,电信
23724,北京电信(IDC),,电信
136188,宁波电信(IDC),,电信
17897,黑龙江电信,,电信
140319,广东清远电信,,电信
137688,辽宁本溪电信,,电信
142608,安徽蚌埠电信(IDC),,电信
137689,江苏电信(物联网),,电信
134763,广东电信,,电信
140636,北京电信(物联网),,电信
140638,四川电信(物联网),,电信
134767,四川成都电信,,电信
4816,广东电信(IDC),,电信
63835,长沙电信(IDC),,电信
133774,福州电信,,电信
136191,湖北宜昌,,电信
134766,云南电信(IDC),,电信
134771,温州电信(IDC),,电信
141998,甘肃兰州电信(IDC),,电信
63838,湖南衡阳,,电信
132225,青海电信(5G),,电信
133776,福建泉州,,电信
139201,江西九江(IDC),,电信
58542,天津电信(IDC),,电信
146966,江苏扬州电信(IDC),,电信
58772,福建福州电信(IDC),,电信
134773,广东广州电信,,电信
139887,山东烟台电信(IDC),,电信
134760,河北石家庄电信(IDC),,电信
136195,青岛电信(IDC),,电信
58519,电信(IDC),,电信
151185,襄阳电信(IDC),,电信
134765,云南电信(IDC),,电信
134425,安徽合肥电信(IDC),,电信
137698,黑龙江哈尔滨,,电信
138169,广西电信(物联网),,电信
134420,重庆电信,,电信
137693,广西南宁电信(IDC),,电信
136198,广东电信,,电信
151823,中南电信(IIP),,电信
148981,湖北十堰电信(IDC),,电信
134768,陕西电信(IDC),,电信
140903,河北保定电信,,电信
58466,广东电信,,电信
4835,电信(IDC),,电信
38283,四川电信(IDC),,电信
134756,南京电信(IDC),,电信
139587,河南郑州电信(IDC),,电信
141679,北京电信,,电信
134238,江西电信(IDC),,电信
140527,安徽芜湖电信(IDC),,电信
149837,江西电信(IDC),,电信
131325,江苏南通电信,,电信
137695,新疆乌鲁木齐电信,,电信
137694,新疆克州电信,,电信
137697,扬州电信(IDC),,电信
149178,合肥电信(南岗IDC),,电信
137702,南京电信(IDC),,电信
139767,电信(OA),,电信
148969,江西电信(临空IDC),,电信
134761,宁夏中卫电信(IDC),,电信
134770,江苏苏州电信(IDC),,电信
23650,江苏电信(IDC),,电信
141771,河北张家口电信,,电信
133775,厦门电信,,电信
140083,安徽电信(物联网),,电信
134772,广东东莞电信,,电信
58539,河北廊坊,,电信
138991,广西柳州电信(IDC),,电信
17633,山东电信,,电信
17799,辽宁电信,,电信
59223,青海电信(IDC),,电信
138950,无锡电信(IDC),,电信
134769,江苏常州电信(IDC),,电信
141025,辽宁沈阳电信,,电信
150145,湖北三峡电信(IDC),,电信
137691,黑龙江,,电信
# ── 中国联通(补充) ──
17623,广东深圳联通,,联通
140726,安徽联通,,联通
136958,广东联通(IDC),,联通
134543,广东联通,,联通
135061,广东联通,,联通
136959,广东联通,,联通
139007,内蒙古联通,,联通
140979,上海联通(IDC),,联通
17789,上海联通(IDC),,联通
140717,江苏苏州联通(IDC),,联通
45083,北京联通,,联通
140716,江苏无锡联通(IDC),,联通
# ── 中国移动(补充) ──
56048,北京移动,,移动
24444,山东移动,,移动
24445,河南移动,,移动
56045,江西移动,,移动
24547,河北移动,,移动
56047,湖南移动,,移动
38019,天津移动,,移动
56042,山西移动,,移动
24138,中国铁通,China TieTong,移动
141425,广东移动,,移动
138407,贵州移动(IDC),,移动
139080,四川移动(IDC),,移动
132510,山西移动(IDC),,移动
140105,陕西移动,,移动
# ── 其他: 教育/科研机构(op=其他)──
24353,CERNET2 西安交大,CERNET2 XJTU,其他
9401,国家图书馆,National Library of China,其他
55971,中国社科院,Chinese Academy of Social Sciences,其他
# ── 其他: 政府/企业(op=其他)──
17968,大庆中基石油,Daqing Zhongji Petroleum,其他
131497,大众(中国),Volkswagen China,其他
